Scenario,PropR,Natural Mortality M,Weight at Age,Movement,Selectivity,SteepnessH,GLOBALFMSY,LOCALFMSY,SBMSY_RATIO_TOTAL,MSY_RATIO,GLOBAL_DEPL_TOTAL,LOCAL_DEPL_TOTAL
NoMovement_Rprop=0.5,0.5,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.26
NoMovement_Rprop=0.6,0.6,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.26
NoMovement_Rprop=0.7,0.7,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.27
NoMovement_Rprop=0.8,0.8,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.27
NoMovement_Rprop=0.9,0.9,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.26
Higher WAA in Area 1,0.5,0.15,Fig. 2A,Fig. 1B,Fig. 1L,"0.7, 0.7","0.19, 0.36","0.25, 0.27",1,1,0.27,0.27
NoMovement_A1LowSelex_Rprop=0.5,0.5,0.15,Fig. 1K,Fig. 1B,Fig. 2B,"0.7, 0.7","0.16, 0.48","0.23, 0.28",1,1.01,0.27,0.27
NoMovement_lowH,0.5,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.6, 0.6","0.2, 0.2","0.2, 0.2",1,1,0.3,0.3
NoMovement_highH,0.5,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.8, 0.8","0.39, 0.39","0.39, 0.4",1.01,1,0.22,0.22
NoMovement_comboH,0.5,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.6, 0.8","0.27, 0.27","0.2, 0.39",1,1,0.26,0.26
NoMovement_revComboH,0.5,0.15,Fig. 1K,Fig. 1B,Fig. 1L,"0.8, 0.6","0.27, 0.27","0.39, 0.2",1,1,0.26,0.26
NoMovement_lowM,0.5,0.13,Fig. 1K,Fig. 1B,Fig. 1L,"0.7, 0.7","0.23, 0.23","0.23, 0.23",1,1,0.27,0.27
NoMovement_highM,0.5,0.17,Fig. 1K,Fig. 1B,Fig. 1L,"0.7, 0.7","0.33, 0.33","0.33, 0.33",1.01,1,0.26,0.26
Exchange among Areas 1,0.5,0.17,Fig. 1K,Fig. 1C,Fig. 1L,"0.7, 0.7","0.45, 0","0.5, 0",1.08,0.97,0.26,0.24
Exchange among Areas 2,0.5,0.17,Fig. 1K,Fig. 1D,Fig. 1L,"0.7, 0.7","0.42, 0.13","0.59, 0",1.09,0.97,0.26,0.24
Exchange among Areas 3,0.5,0.17,Fig. 1K,Fig. 1E,Fig. 1L,"0.7, 0.7","0.39, 0.24","0.55, 0.11",1.03,0.98,0.26,0.25
Symmetrical Movement,0.5,0.15,Fig. 1K,Fig. 1F,Fig. 1L,"0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.26
A2 Sink 1,0.5,0.15,Fig. 1K,Fig. 1G,Fig. 1L,"0.7, 0.7","0, 0.29","0, 0.59",1.88,0.8,0.26,0.14
A2 Sink 2,0.5,0.15,Fig. 1K,Fig. 1H,Fig. 1L,"0.7, 0.7","0, 0.3","0, 0.59",1.7,0.81,0.26,0.16
A2 Sink 3,0.5,0.15,Fig. 1K,Fig. 1I,Fig. 1L,"0.7, 0.7","0.03, 0.33","0.02, 0.57",1.43,0.85,0.27,0.19
A2 Sink 4,0.5,0.15,Fig. 1K,Fig. 1J,Fig. 1L,"0.7, 0.7","0.17, 0.32","0.17, 0.43",1.18,0.92,0.26,0.22
BaseCase_A1Sink,0.5,0.15,Fig. 1K,Fig. 1A,Fig. 1L,"0.7, 0.7","0.33, 0.03","0.57, 0.02",1.43,0.85,0.27,0.19
base+A1LowSelex,0.5,0.15,Fig. 1K,Fig. 1A,Fig. 2B,"0.7, 0.7","0.23, 0.28","0.42, 0.04",1.37,0.86,0.28,0.2
base+A1HighSelex,0.5,0.15,Fig. 1K,Fig. 1A,Fig. 2C,"0.7, 0.7","0.42, 0","0.78, 0.01",1.44,0.84,0.25,0.17
base+comboH,0.5,0.15,Fig. 1K,Fig. 1A,Fig. 1L,"0.8, 0.6","0.33, 0.03","0.73, 0",1.47,0.78,0.27,0.18
base+lowHhighM,0.5,0.17,Fig. 1K,Fig. 1A,Fig. 1L,"0.6, 0.6","0.28, 0","0.6, 0",1.62,0.78,0.3,0.19
base+highHlowM,0.5,0.13,Fig. 1K,Fig. 1A,Fig. 1L,"0.8, 0.8","0.38, 0.07","0.55, 0.08",1.31,0.9,0.23,0.17
