1916,73.7,2.8,0
1917,117.5,2.9,0
1918,122.3,3.1,0
1919,77,3.2,0
1920,81.3,3.4,0
1921,70,3.5,0
1922,64.3,3.6,0
1923,77.1,3.8,0
1924,80.5,3.9,0
1925,93.3,4.1,0
1926,124.7,4.2,0
1927,111.9,4.3,0
1928,109.6,7.2,0
1929,119.8,12.3,0
1930,131.3,11.3,0
1931,153.7,9,0
1932,117.3,3.7,0
1933,105.9,5.2,0
1934,104.8,5.1,0.3
1935,123.2,5,2.3
1936,93.1,12.4,3
1937,100.9,15.9,2.7
1938,102.6,12.9,3.9
1939,120,11.2,4.1
1940,102.9,107.1,9.1
1941,93.3,161.5,3.4
1942,39.2,292.7,66.5
1943,86.7,992.4,214.8
1944,330.5,1629.4,89.3
1945,754.2,2496.8,935.7
1946,707.8,1544.9,471.7
1947,264.9,961.2,246.4
1948,315.4,692,400.1
1949,247.2,596.8,486.6
1950,241.3,624,467.7
1951,257.5,572.9,391.3
1952,183.2,592.9,373.1
1953,172.6,618.5,161.8
1954,147.4,785,232.1
1955,152.5,791.4,219
1956,159.2,1168.8,209.2
1957,171.8,1220.5,173.1
1958,242.7,831.3,219.1
1959,184.4,911.3,244.9
1960,149.6,1084.5,221.5
1961,111.1,987.3,262.9
1962,122,1152.6,366.4
1963,149.2,664.2,294.9
1964,112.4,1014.9,217.7
1965,158.3,838.4,485.2
1966,141.3,938.8,664.1
1967,168.1,163.9,325
1968,166.6,884,559.5
1969,309.6,306.5,545.4
1970,345.5,602.2,504.6
1971,451.9,795.7,578.1
1972,583.6,777.4,161.2
1973,493,954.3,361.2
1974,613.9,618.3,552.2
1975,630,432.5,763
1976,700,290.6,580.8
1977,687.4,651,490.2
1978,961.1,1922.5,1419.4
1979,622.1,1535.9,716.5
1980,700,3081.7,767.1
1981,863.3,2171.8,536
1982,1091.5,4081.7,454.1
1983,678.2,3876.7,679.9
1984,556.3,1574.6,643.6
1985,585.5,1389.4,1080.3
1986,430.9,1271.2,938.7
1987,429.2,1742.6,1064.9
1988,431.4,1685.5,1024.5
1989,502.6,1655.1,1263.6
1990,631.8,1115.3,1149.3
1991,395.6,1907.3,1017.5
1992,442.5,1663.8,874.8
1993,270.5,1727.2,318.9
1994,265.8,807.7,165.7
1995,333.7,705,175
1996,403.3,947.7,203.3
1997,379.8,883.7,219.4
1998,267.3,991.5,224.6
1999,199.6,538.5,155.7
2000,104.3,85.5,31.5
2001,60.4,54.8,28.1
2002,26.9,30.9,30
2003,26.8,18.4,14.3
2004,17.1,12.2,13
2005,13.9,18.8,21.6
2006,16.8,13.6,14.2
2007,21.9,11.5,9.8
2008,7.8,9.2,13
2009,23.6,9.6,10.8
2010,20,8.6,12.5
2011,30.3,14.3,13
2012,8.2,12.3,11
2013,11.4,14.5,8.3
2014,12.2,16.2,8.9
